d100,"dragonborn, clan","dragonborn, female","dragonborn, male","dwarf, clan","dwarf, female","dwarf, male","elf, child","elf, family","elf, female","elf, male","gnome, clan","gnome, female","gnome, male","half-orc, female","half-orc, male","halfling, family","halfling, female","halfling, male","tiefling, female","tiefling, male","tiefling, virtue","arabic, female","arabic, male","celtic, female","celtic, male","chinese, female","chinese, male","egyptian, female","egyptian, male","english, female","english, male","french, female","french, male","german, female","german, male","greek, female","greek, male","indian, female","indian, male","japanese, female","japanese, male","mesoamerican, female","mesoamerican, male","niger-congo, female","niger-congo, male","norse, female","norse, male","polynesian, female","polynesian, male","roman, female","roman, male","slavic, female","slavic, male","spanish, female","spanish, male"
47-48,Kimbatuul,Jezean,Maagog,Goldfinder,Jarana,Kildrak,Lue,Ilphelkiir,Jarsali,Halimath,Miggledy,Nissa,Glim,Lezre,Lubash,Littlefoot,Maegan,Keith,Makaria,Mantus,Ignominy,Najwa,Jahid,Gitta,Dillion,Lan,Junjie,Merit,Kewap,Giselle,Hugh,Guiburgis,Imbert,Fela,Jorg,Iokaste,Iacchus,Kashi,Ila,Hotaru,Kenshin,Mecatl,Matlalihuitl,Ige,Emeka,Ingrid,Geir,Kahula,Itu,Germana,Cloelius,Mariya,Kyrilu,Ines,Gil
49-50,Lhamboldennish,Jheri,Medrash,Gorunn,Kathra,Kilvar,Mai,Iranapha,Jelenneth,Heian,Munggen,Numba,Igden,Murgen,Megged,Nimblefingers,Marigold,Kevin,Manea,Marbas,Laughter,Nakia,Jamal,Grania,Donaghy,Li,Kang,Meritamen,Khaemwaset,Griselda,Jocelyn,Guillemette,Jacques,Fronicka,Karll,Iole,Iason,Kishori,Isha,Izumi,Kenta,Meztli,Mazatl,Ime,Folami,Iona,Halvar,Kailani,Ka'aukai,Glaucia,Cnaeus,Militsa,Lyubomir,Isabel,Gomes
51-52,Linxakasendalor,Kadana,Mehen,Graybeard,Kilia,Morgran,Mara,Koehlanna,Keyleth,Himo,Murnig,Nyx,Jabble,Murook,Mhurren,Porridgepot,Merla,Lazam,Markosian,Melech,Love,Nashwa,Kalim,Gwyndolin,Donall,Lihua,Lei,Merneith,Khafra,Hadwisa,John,Guoite,Jacquot,Genefe,Kilian,Iphigenia,Kadmos,Lalita,Johar,Kameyo,Kioshi,Miyaoaxochitl,Mictlantecuhtli,Kunto,Gatura,Jorunn,Hemming,Kamaile,Ka'eo,Gratiana,Crispus,Miloslava,Mechislav,Juana,Goncalo
53-54,Mohradyllion,Kava,Mozikth,Hammerstone,Kristryd,Morkral,Mella,Lathalas,Leshanna,Immeral,Musgraben,Oda,Jebeddo,Myev,Mord,Quickstep,Myria,Lerry,Mastema,Merihim,Lust,Nawra,Karim,Idelisa,Duer,Lin,Liang,Merseger,Khusebek,Helen,Lance,Hecelina,Jean,Geras,Linhart,Ismene,Kastor,Lina,Kalyan,Kasumi,Makoto,Mizquixaual,Milintica,Lesedi,Gebhuza,Kari,Hjalmar,Kamakani,Kaelani,Hadriana,Cyprianus,Mira,Milivoj,Leocadia,Gostantin
55-56,Mystan,Korinn,Mreksh,Helcral,Liftrasa,Nalral,Mya,Liadon,Lia,Ivellios,Nackle,Oppah,Kellen,Nagrette,Morg,Reedfellow,Nedda,Lindal,Naamah,Modean,Mayhem,Nuha,Kazim,Isolde,Eghan,Ling,Ling,Muyet,Masaharta,Herleva,Manfred,Heloysis,Jehannin,Gerhauss,Lorentz,Kalliope,Kephalos,Madhur,Kiran,Kimiko,Mamoru,Moyolehuani,Momoztli,Lumusi,Gero,Kenna,Hjortr,Kamea,Kahale,Hermina,Diocletianus,Miroslava,Milosh,Leonor,Jayme
57-58,Nemmonis,Megren,Mugrunden,Holderhek,Marastyr,Nordak,Naeris,Meliamne,Maiathah,Korfel,Ningel,Orla,Kipper,Neega,Nil,Shadowquick,Nikki,Lyle,Nemeia,Mordai,Mockery,Nura,Khadim,Keelin,Ewyn,Liu,Liwei,Nebet,Meketre,Hugolina,Miles,Helyoudis,Louis,Gertrudt,Ludwig,Kallisto,Kepheus,Manju,Kumar,Kotone,Masato,Nahuatl,Namacuix,Mojisola,Isoba,Magnhild,Ingimarr,Latai,Kaiea,Horatia,Egnatius,Mokosh,Mstislav,Leta,Joan
59-60,Norixius,Mijira,Nadarr,Ironfist,Mardred,Nuraval,Naill,Mellerelel,Malquis,Lamlis,Nopenstallen,Panana,Namfoodle,Nella,Nybarg,Silvereyes,Nora,Merric,Nija,Mormo,Murder,Oma,Khalid,Kennocha,Ferghus,Meili,Meilin,Nebetah,Menkhaf,Ida,Nicholas,Hodeardis,Louys,Guttel,Marx,Kalypso,Koios,Meera,Lakshmana,Kyoko,Masumi,Necahual,Necalli,Monifa,Kagiso,Nanna,Ivar,Liona,Kaikoa,Hortensia,Ennius,Morana,Nikola,Lucinda,Jorge
61-62,Ophinshtalajiir,Mishann,Nithther,Loderr,Morana,Oloric,Nim,Mystralath,Meriele,Laucian,Nucklestamp,Pyntle,Oppleby,Nogu,Odorr,Smoothhands,Olivia,Mican,Orianna,Morthos,Muse,Qadira,Mahmud,Lavena,Galvyn,Ning,Niu,Nedjemmut,Merenre,Isabella,Norman,Isabellis,Loys,Helena,Melchor,Karme,Kreios,Mohana,Mahavir,,Noboru,Nenetl,Necuametl,Nakato,Kamau,Olga,Knud,Lokelani,Kana'I,Iovita,Fabricius,Natasha,Ninoslav,Maresol,Jose
63-64,Orexijandilin,Nala,Norkruuth,Lutgehr,Nalaed,Olunt,Phann,Naïlo,Mialee,Lucan,Offund,Quilla,Orryn,Oolah,Ohr,Stonebridge,Paela,Milo,Osah,Nicor,Music,Qamar,Mansour,Lesley,Gildas,Qi,Peizhi,Nefertiti,Metjen,Jacoba,Odo,Jaquette,Martin,Irmel,Mertin,Kassandra,Laios,Mukta,Narayan,,Norio,Nochtli,Nezahualcoyotl,Ndidi,Katlego,Ragna,Leif,Marva,Koamalu,Iulia,Faustus,Nika,Premislav,Maria,Juan
65-66,Pfaphnyrennish,Nuthra,Nykkan,Morigak,Nora,Orsik,Py,Netyoive,Myathethil,Mindartis,Oomtrowl,Ranala,Paggen,Ootah,Rendar,Stoutbridge,Pearl,Morrin,Phelaia,Nirgel,Mystery,Qistina,Musharraf,Linnette,Guy,Qiao,Peng,Neferu,Nebamun,Jane,Percival,Jehan,Michel,Jonata,Michel,Kassiopeia,Leandros,Nisha,Naveen,,Osamu,Noxochicoztli,Nexahualpilli,Ngozi,Masego,Ragnhild,Liufr,Mehana,Ka,Laelia,Gaius,Olga,Radomir,Maricela,Machin
67-68,Phrahdrandon,Perra,Pandjed,Orcfoe,Nurkara,Oskar,Rael,Ofandrus,Naivara,Naal,Pilwicken,Reddlepop,Pallabar,Ovak,Resh,Stoutman,Pennie,Nebin,Prosperine,Oriax,Nowhere,Rahima,Mustafa,Lyonesse,Harvey,Rong,Ping,Neithotep,Nebetka,Joan,Peter,Johanna,Mille,Katerina,Moritz,Kirke,Linos,Nitya,Nirav,,Ryota,Ohtli,Nochehuatl,Nkiruka,Matata,Ranveig,Manning,Millawa,Laki,Laurentia,Germanus,Rada,Radovan,Matilde,Martin
69-70,Pyraxtallinost,Pogranix,Patrin,Rakankrak,Oriff,Rangrim,Raer,Ostoroth,Quelenna,Nutae,Pingun,Roywyn,Pog,Ownka,Ront,Strongbones,Philomena,Nevil,Purah,Paymon,Open,Rihanna,Nadir,Mabina,Iden,Shu,Qiang,Nit,Nehi,Juliana,Ralf,Juliote,Morelet,Kuen,Osswald,Kleio,Lykos,Padma,Prabhakar,,Sadao,Papan,Nopaltzin,Nneka,Nthanda,Runa,Oddr,Moana,Makai,Livia,Gnaeus,Radoslava,Ratimir,Melania,Mateu
71-72,Qyxpahrgh,Pyxrin,Pijjirik,Ruby-Eye,Ovina,Reirak,Ren,Othronus,Quillathe,Paelias,Quillsharpener,Salanop,Qualen,Puyet,Rrath,Sunmeadow,Portia,Osborn,Pyra,Pelaios,Pain,Saadia,Nazim,Marvina,Irven,Shuang,Qiu,Nofret,Nekure,Katherine,Randal,Katerine,Nicolas,Kungund,Ott,Klotho,Melanthios,Pratima,Prasanna,,Satoshi,Patli,Ollin,Ogechi,Ogechi,Saga,Olin,Ngana,Manu,Longina,Horatius,Raisa,Rostislav,Monica,Miguel
73-74,Raghthroknaar,Quespa,Quarethon,Rumnaheim,Riswynn,Rurik,Rinn,Qualanthri,Ridaro,Peren,Raulnor,Shamil,Ribbles,Reeza,Sark,Swiftwhistle,Robbie,Ostran,Rieta,Purson,Passion,Sabah,Omar,Mavis,Karney,Song,Quan,Nubemiunu,Nessumontu,Margery,Raymond,Luciana,Nicolle,Lucia,Peter,Klytië,Menelaus,Priya,Raghu,,Shigeo,Quetzalxochitl,Quauhtli,Olamide,Olwenyo,Sigfrid,Ormr,Nohea,Manuka,Lucilla,Iovianus,Slavitsa,Slavomir,Neva,Nicolas
75-76,Shestendeliath,Raiann,Rathkran,Silveraxe,Sannl,Taklinn,Rua,Raethran,Sariel,Quarion,Reese,Siffress,Rimple,Shautha,Scrag,Tallfellow,Rose,Oswalt,Ronobe,Qemuel,Poetry,Sada,Qadir,Mirna,Kayne,Ting,Renshu,Peseshet,Pakhom,Mary,Reynard,Margot,Oudart,Madalena,Rudolff,Kynthia,Mentor,Rani,Rajanikant,,Shin,Sacnite,Tenoch,Oluchi,Osumare,Signe,Ove,Pelika,Nui,Lucretia,Iulius,Sofiya,Stanislav,Nilda,Pascual
77-78,Skaarzborroosh,Rezena,Rhogar,Silverstone,Therlin,Thoradin,Sael,Rothenel,Shanairla,Riardon,Rofferton,Symma,Roondar,Silgre,Sheggen,Tealeaf,Saral,Perrin,Ronwe,Raam,Quest,Saffron,Qusay,Morgan,Kelvyn,Wen,Rong,Pypuy,Pawah,Matilda,Richard,Marguerite,Perrin,Magdalen,Ruprecht,Leto,Neoptolemus,Sarala,Rakesh,,Sora,Teicui,Teoxihuitl,Omolara,Paki,Sigrid,Rannulfr,Sanoe,Pono,Marcella,Lucilius,Stanislava,Svetoslav,Petrona,Pedro
79-80,Sumnarghthrysh,Ruloth,Rivaan,Steelfist,Thodris,Thorin,Sai,Selevarun,Shava,Rolen,Scheppen,Tana,Sapply,Sutha,Shump,Tenpenny,Seraphina,Poppy,Seddit,Rimmon,Random,Sahar,Rafiq,Muriel,Kunsgnos,Xia,Ru,Qalhata,Pawero,Maynild,Robert,Maria,Phillippe,Margret,Sewastian,Megaera,Okeanos,Shakti,Ranjeet,,Tadao,Tepin,Tepiltzin,Onyeka,Qinisela,Sigrunn,Sigurd,Satina,Popoki,Marcia,Manius,Svetlana,Tomislav,Rafaela,Porico
81-82,Tiammanthyllish,Saphara,Sethrekar,Stoutale,Torbera,Thradal,Sumi,Siannodel,Silaqui,Soveliss,Shadowcloak,Tenena,Seebo,Tagga,Tanglar,Thistletop,Shaena,Reed,Seere,Sammal,Reverence,Salma,Rakim,Nareena,Leigh,Xiaodan,Shan,Rai,Ramose,Millicent,Roger,Marie,Pierre,Marlein,Sigmund,Melaina,Orestes,Shanta,Rishi,,Takehiko,Teuicui,Tezcacoatl,Simisola,Quanda,Solveg,Skari,Tahia,Ruru,Maxima,Marcus,Tatyana,Vasili,Ramira,Ramiro
83-84,Turnuroth,Savaran,Shamash,Strakeln,Tordrid,Tordek,Syllin,Suithrasas,Sumnes,Suhnae,Silverthread,Tervaround,Senteq,Tawar,Tarak,Thorngage,Stacee,Roscoe,Sekhmet,Skamos,Revulsion,Shatha,Rashad,Oriana,Maccus,Xiaoli,Shen,Redji,Rudjek,Oriel,Roland,Melisende,Regnault,Martha,Steffan,Melpomene,Pallas,Shobha,Sanjay,,Takeo,Teyacapan,Tlacaelel,Temitope,Samanya,Svanhild,Snorri,Tasi,Tahu,Nona,Marius,Tomislava,Velimir,Rosario,Ramon
85-86,Umbyrphrael,Sora,Shedinn,Strongheart,Torgga,Traubon,Ta,Sylvaranth,Theirastra,Thamior,Sympony,Tippletoe,Sindri,Tomph,Thar,Tosscobble,Tawna,Sam,Semyaza,Tethren,Sorrow,Tahira,Rauf,Regan,Moryn,Xingjuan,Tengfei,Sadeh,Sabaf,Rohesia,Rolf,Odelina,Richart,Otilia,Symon,Nausikaa,Patroklos,Sima,Sekar,,Takeshi,Tlaco,Tlacelel,Thema,Shanika,Thora,Sten,Tiaho,Taurau,Octavia,Maximus,Veronika,Vladimir,Sofia,Rodrigo
87-88,Vangdondalor,Surina,Srorthen,Thrahak,Urshar,Travok,Thia,Teinithra,Thiala,Tharivol,Tarkelby,Ulla,Umpen,Ubada,Thokk,Underbough,Thea,Shardon,Shava,Thamuz,Temerity,Takisha,Saladin,Ronat,Neale,Xue,Wei,Sadek,Sebek-khu,Rosalind,Simon,Perrette,Robert,Ottilg,Thoman,Nemesis,Philandros,Sonal,Shandar,,Takumi,Tlacoehua,Tlaloc,Titlayo,Sibonakaliso,Torborg,Stigandr,Tihani,Tuala,Paulina,Octavius,Vesna,Vladislav,Suelo,Sabastian
89-90,Verthisathurgiesh,Synthrin,Tarhun,Torevir,Valida,Ulfgar,Tia,Tiltathana,Tiaathque,Theren,Timbers,Unvera,Warryn,Vanchu,Trag,Underfoot,Trym,Tye,Shax,Therai,Torment,Thana,Sami,Rowena,Owyn,Ya,Xiaobo,Sitamun,Sebni,Rosamund,Theobald,Petronilla,Robinet,Peternella,Ulrich,Niobe,Phoibos,Sumana,Sumantra,,Tamotsu,Tlacotl,Tlanextic,Udo,Tapiwa,Torunn,Stigr,Toroa,Turoa,Petronia,Paulus,Vladimira,Vlastimir,Teresa,Salvador
91-92,Wivvyrholdalphiax,Tatyan,Torinn,Torunn,Vistra,Uraim,Traki,Wasanthi,Traulam,Theriatis,Turen,Veloptima,Wiggens,Vola,Ugarth,Warmwater,Tyna,Ulmo,Sorath,Valafar,Tragedy,Yadira,Samir,Selma,Pryderi,Yan,Xiaoli,Sitre,Senusret,Sarah,Theodoric,Sedilia,Sauvage,Reusin,Vallentin,Ourania,Phrixus,Sunita,Vijay,,Tatsuo,Tlalli,Tlazohtlaloni,Uduak,Thabo,Tove,Sven,Ulanni,Tusitala,Porcia,Quintilian,Yaroslava,Volodimeru,Tomasa,Simon
93-94,Wystongjiir,Thava,Trynnicus,Trollbleeder,Vonana,Veit,Vall,Withrethin,Vadania,Thervan,Umbodoben,Virra,Wobbles,Volen,Varg,Whispermouse,Vani,Wellby,Uzza,Vassago,Vice,Zahra,Talib,Ula,Reaghan,Ying,Xin,Takhat,Shabaka,Susannah,Thomas,Stephana,Simon,Sibilla,Wendel,Phaenna,Priamos,Tara,Vikram,,Toru,Tlanextli,Tlazopillo,Ufuoma,Themba,Unn,Trygve,Uluwehi,Uaine,Tacita,Regulus,Yelena,Vratislav,Valentia,Tomas
95-96,Xephyrbahnor,Uadjit,Valorean,Trueanvil,Werydd,Vonbin,Von,Xiloscient,Valanthe,Uthemar,Waggletop,Waywocket,Wrenn,Vorka,Vilberg,Wildcloak,Verna,Wendel,Vapula,Xappan,Virtue,Zaida,Tamir,Venetia,Taliesin,Yuan,Yang,Tarset,Somintu,Sybil,Timm,Sybilla,Talbot,Ursel,Wilhelm,Polymnia,Pyrrhos,Valli,Vimal,,Toshio,Xihuitl,Uetzcayotl,Yaa,Uzoma,Vigdis,Ulf,Vaina,Waata,Tullia,Servius,Zaria,Yarognev,Veronica,Tristan
97-98,Yarjerit,Vezera,Vrondiss,Trueblood,Whurdred,Vondal,Wil,Xistsrith,Valna,Vanuath,Welber,Yebe,Zaffrab,Yevelda,Yurk,Wildheart,Wella,Wenner,Vepar,Zepar,Weary,Zaina,Tariq,Wynne,Tiernay,Yue,Ying,Taweret,Thaneni,Williamina,William,Ysabeau,Tanguy,Vrsula,Wolff,Semele,Xanthos,Vijaya,Vishal,,Yasuo,Xiuhcoatl,Xipilli,Yejide,Zuberi,Ylva,Vali,Waiola,Waipuna,Verginia,Tacitus,Zarya,Yaromir,Ynes,Valeriano
99-100,Zzzxaaxthroth,Zykroff,Zedaar,Ungart,Yurgunn,Whurbin,Za,Yaeldrin,Xanaphia,Varis,Wildwander,Zanna,Zook,Zagga,Zed,Wiseacre,Willow,Wes,Verin,Zephan,Wit,Zeinab,Yazid,Yseult,Turi,Yun,Zhong,Werenro,Thethi,Yvonne,Wymar,Ysabel,Vincent,Walpurg,Wolfgang,Theia,Zephyros,Vimala,Yash,,Yukio,Xiuhtonal,Yaotl,Yewande,Zuri,Yngvild,Vidar,Waitara,Zamar,Vita,Varius,Zoria,Zbignev,Ysabel,Ynigo